,Query,expected_output,actual_output,similarity_score,inference_time,input_token,output_token
0,"Get my work items in the ""Completed"" stage, summarizing them.","[{'tool_name': 'who_am_i', 'arguments': []}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'stage_name', 'argument_value': ['Completed']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'who_am_i', 'arguments': []}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['$$PREV[0]']}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['$$PREV[0]']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",False,17.64696192741394,3416,94
1,"Given a search string for a customer name, find matching objects, retrieve high-severity tickets related to those customers, and generate a summary.","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'CustomerName'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket.rev_org', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'ticket.severity', 'argument_value': ['high']}, {'argument_name': 'type', 'argument_value': ['ticket']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'customer'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'applies_to_part', 'argument_value': 'search_object_by_name'}, {'argument_name': 'ticket.severity', 'argument_value': 'high'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",False,17.378711223602295,3108,101
2,"Create actionable tasks from the content of a DOCUMENT and add them to the current sprint, providing details on the sprint ID and the newly created tasks.",{},[],True,31.781872987747192,4646,174
3,"Search for work items related to the customer ""CustomerABC,"" retrieve those with a priority of ""p1,"" and summarize them.","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'CustomerABC'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue.rev_orgs', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'issue.priority', 'argument_value': ['p1']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'applies_to_part', 'argument_value': []}, {'argument_name': 'issue.priority', 'argument_value': ['p1']}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'applies_to_part', 'argument_value': 'CustomerABC'}, {'argument_name': 'types', 'argument_value': ['issue', 'ticket', 'task']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",False,20.199193000793457,4441,116
4,"Search for objects related to the customer ""VIPCustomer,"" retrieve work items owned by ""DEVU-789"" for those customers, and generate a summary of those work items.

json","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'VIPCustomer'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['DEVU-789']}, {'argument_name': 'issue.rev_orgs', 'argument_value': ['$$PREV[0]']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",[],False,17.848724842071533,3291,75
5,"Create actionable tasks from a given text, extract actionable insights, and add them to the current sprint.","[{'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'Sample text with actionable insights.'}]}, {'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'create_actionable_tasks_from_text'}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]","[{'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'This is a test'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'create_actionable_tasks_from_text'}]}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'create_actionable_tasks_from_text'}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]",False,12.019298791885376,2879,112
6,"Summarize work items similar to ""TKT-456"" and prioritize them.","[{'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'TKT-456'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_similar_work_items'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'summarize_objects'}]}]","[{'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'TKT-456'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_similar_work_items'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'summarize_objects'}]}]",True,16.411076068878174,2919,86
7,"Get the current sprint ID, find work items that are similar to ""don:core:dvrv-us-1:devo/0:issue/2,"" and prioritize them based on internal criteria.","[{'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'don:core:dvrv-us-1:devo/0:issue/2'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_similar_work_items'}]}]","[{'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': '2'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_similar_work_items'}]}]",False,11.882572174072266,2821,82
8,"Get the current sprint ID and retrieve work items in that sprint owned by user ""DEVU-123.""","[{'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['DEVU-123']}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]","[{'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'applies_to_part', 'argument_value': 'get_sprint_id'}, {'argument_name': 'owned_by', 'argument_value': '123'}]}]",True,8.94087290763855,2235,45
9,"Retrieve work items related to the project ""EnterprisePlatform"" and provide a detailed summary, including information on the assignees, creation dates, and issue priorities.","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'EnterprisePlatform'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'applies_to_part', 'argument_value': ['$$PREV[0]']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'applies_to_part', 'argument_value': 'EnterprisePlatform'}, {'argument_name': 'types', 'argument_value': ['issue', 'ticket', 'task']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",False,20.502470016479492,3513,127
