"Solve the 'Directive' with the given 'Tool'. Use values in 'Past Actions' or the provided directive and map values to arguments in the Tool. In case of missing info return a directive to get the missing info required to get missing info.
Directive: Get issues made by users in my team
Tool:get_items with args:
- applies_to_part (Array[String]): Filters for work belonging to any of the provided parts.
- owned_by (Array[String]): Filters for work owned by any of these users
- created_by (Array[String]): Filters for work created by any of these users
- issue.priority (Array[String]): Filters for issues with any of the provided priorities allowing: [""p0"", ""p1"", ""p2"", ""p3""]
Past Actions/Knowledge:",{'missing_action': 'Get user details of my team'}
"Solve the 'Directive' with the given 'Tool'. Use values in 'Past Actions' or the provided directive and map values to arguments in the Tool. In case of missing info return a directive to get the missing info required to get missing info.
Directive: Move all files with names starting with ""feature-file"" to the folder ""folder-123""
Tool:move_files with args:
- files (Array[String]): The files to move
- destination (String): The destination folder
- delete (Boolean): Whether to delete the files after moving them
- overwrite (Boolean): Whether to overwrite the files if they already exist at destination
Past Actions/Knowledge:
- Get the id of the current user: who_am_i
- Get the current sprint: get_current_sprint
- Get the name of the current branch: get_current_branch
- Get the name current repository: get_current_repository","{'missing_action': ""Get all files with names starting with 'feature-file'""}"
"Solve the 'Directive' with the given 'Tool'. Use values in 'Past Actions' or the provided directive and map values to arguments in the Tool. In case of missing info return a directive to get the missing info required to get missing info.
Directive: Prioritize tasks related to customer feedback
Tool: prioritize_tasks with args:
- tasks (Array[Object]): List of tasks to prioritize
Past Actions:
- Get the ID of the current User: who_am_i
- Retrieve tasks related to customer feedback: fetch_feedback_tasks","{'result': [('tasks', 'fetch_feedback_tasks')]}"
"Solve the 'Directive' with the given 'Tool'. Use values in 'Past Actions' or the provided directive and map values to arguments in the Tool. In case of missing info return a directive to get the missing info required to get missing info.
Directive: Close all unresolved bugs in the system
Tool: close_issues with args:
- issues (Array[Object]): List of issues to close
- issue.type (Array[String]): Filters for issues by the type [""Bug"", ""Feature"", ""Optimisation""]
- issue.status (String): Filters for issues by the status allowing [""Unresolved"", ""Resolved"", ""Abandoned""]
Past Actions/Knowledge:
- Get the list of all bugs: get_all_bugs","{'result': [('issues', 'get_all_bugs'), ('issue.type', ['Bug']), ('issue.status', 'Unresolved')]}"
"Solve the 'Directive' with the given 'Tool'. Use values in 'Past Actions' or the provided directive and map values to arguments in the Tool. In case of missing info return a directive to get the missing info required to get missing info.
Directive:Get all my high priority issues in backlog
Tool: get_backlog_items with args:
- applies_to_part (Array[String]): Filters for work belonging to any of the provided parts.
- created_by (Array[String]): Filters for work created by any of these users.
- owned_by (Array[String]): Filters for work owned by any of these users.
- issue.rev_orgs (Array[String]): Filters for issues with any of the provided Rev organizations
- issue.priority (Array[String]): Filters for issues with any of the provided priorities allowing: ['p0', 'p1', 'p2', 'p3']
- limit (Number): The maximum number of works to return.
- stage.name (Array[String]): Filters for records in the provided stage(s) by name
- ticket.needs_response (Boolean): Filters for tickets that need a response
- ticket.severity (Array[String]): Filters for tickets with any of the provided severities allowing: ['blocker', 'high', 'low', 'medium']
- ticket.source_channel (Array[String]): Filters for tickets with any of the provided source channels allowing: []
- types (Array[String]): Filters for work of the provided types. allowing: ['issue', 'ticket', 'task']
Past Actions:
- Returns the ID of the current user: who_am_i
- Returns the ID of the current sprint: get_sprint_id","{'result': [('owned_by', ['who_am_i']), ('issue.priority', ['high'])]}"
"Solve the 'Directive' with the given 'Tool'. Use values in 'Past Actions' or the provided directive and map values to arguments in the Tool. In case of missing info return a directive to get the missing info required to get missing info.
Directive: Get all high severity tickets coming in from slack from customer Cust123
Tool: works_list with args:
- applies_to_part (Array[String]): Filters for work belonging to any of the provided parts.
- created_by (Array[String]): Filters for work created by any of these users.
- owned_by (Array[String]): Filters for work owned by any of these users.
- issue.rev_orgs (Array[String]): Filters for issues with any of the provided Rev organizations
- issue.priority (Array[String]): Filters for issues with any of the provided priorities allowing: ['p0', 'p1', 'p2', 'p3']
- limit (Number): The maximum number of works to return.
- stage.name (Array[String]): Filters for records in the provided stage(s) by name
- ticket.needs_response (Boolean): Filters for tickets that need a response
- ticket.severity (Array[String]): Filters for tickets with any of the provided severities allowing: ['blocker', 'high', 'low', 'medium']
- ticket.source_channel (Array[String]): Filters for tickets with any of the provided source channels
- types (Array[String]): Filters for work of the provided types. allowing: ['issue', 'ticket', 'task']
Past Actions:
- Returns the ID of the current user: who_am_i
- Returns the ID of the current sprint: get_sprint_id",{'missing_action': 'Get objects related to customer Cust123'}
"Solve the 'Directive' with the given 'Tool'. Use values in 'Past Actions' or the provided directive and map values to arguments in the Tool. In case of missing info return a directive to get the missing info required to get missing info.
Directive: Move all unresolved bugs to the next sprint
Tool: move_issues with args:
- issues (Array[Object]): List of issues to move
- destination_sprint (String): The sprint to move the issues to
Past Actions:
- Get the ID of the current User: who_am_i
- Get the next sprint: get_next_sprint",{'missing_action': 'Get the list of unresolved bugs'}
"Solve the 'Directive' with the given 'Tool'. Use values in 'Past Actions' or the provided directive and map values to arguments in the Tool. In case of missing info return a directive to get the missing info required to get missing info.
Directive: Show a list of my tasks pending review
Tool: get_info_on_tasks with args:
- tasks (Array[Object]): List of tasks to include in the pending review list
- assigned_to (Array[String]): List of users to the tasks are assigned to
- status (Array[String]): The status of the tasks to filter allowing: [""Completed"", ""In Progress"", ""Overdue""]
- priority (String): The priority of the tasks to filter allowing: [""High"", ""Medium"", ""Low"", ""Blocker""]
- reviewers (Array[String]): User ids of the reviewers
Past Actions:",{'missing_action': 'Get the user id of current user'}
"Solve the 'Directive' with the given 'Tool'. Use values in 'Past Actions' or the provided directive and map values to arguments in the Tool. In case of missing info return a directive to get the missing info required to get missing info.
Directive: Get action items from T
Tool: get_action_items_from_text with args:
- text (String): The text from which the actionable insights need to be created
Past Actions/Knowledge:
- Get the ID of the current User: who_am_i
- Get the current sprint: get_current_sprint","{'result': [('text', 'T')]}"
"Solve the 'Directive' with the given 'Tool'. Use values in 'Past Actions' or the provided directive and map values to arguments in the Tool. In case of missing info return a directive to get the missing info required to get missing info.
Directive: Find all tasks related to the 'Feature-123','Feature-456' and 'Feature-789' feature
Tool: find_related_tasks with args:
- features (Array[String]): Name of the feature to find related tasks
- priority (String): The priority of the tasks to filter allowing: [""high"", ""low"", ""medium""]
- organization (String): The organization of the tasks to filter
- status (Array[String]): The status of the tasks to filter allowing: [""Completed"", ""In Progress"", ""Overdue""]
Past Actions:
- Get the ID of the current User: who_am_i
- Search for tasks related to 'Feature-123': search_related_tasks","{'result': [('features', ['Feature-123', 'Feature-456', 'Feature-789'])]}"
