,Query,idx,expected_output,actual_output,similarity_score,inference_time,input_token,output_token
0,"Search for objects with the query ""important-customer,"" retrieve work items related to those objects with high severity, summarize the objects, prioritize them, find the ID of the current sprint, and add the prioritized items to the sprint.",49,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'important-customer'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket_rev_org', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'ticket_severity', 'argument_value': ['high']}, {'argument_name': 'type', 'argument_value': ['ticket']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'summarize_objects'}]}, {'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'prioritize_objects'}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'important-customer'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue_rev_orgs', 'argument_value': 'REV-123'}, {'argument_name': 'ticket_severity', 'argument_value': 'high'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'get_sprint_id', 'arguments': [{'argument_name': '', 'argument_value': ''}]}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_items', 'argument_value': 'search_object_by_name'}, {'argument_name': 'sprint_id', 'argument_value': 'works_list'}]}]",1,162.67448139190674,9036.0,433.375
1,"Search for objects related to the part numbers ""PART-003"" and ""PART-004,"" retrieve high-severity issues associated with them, and create a summary.",14,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': ['PART-003', 'PART-004']}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue_rev_orgs', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'issue_priority', 'argument_value': ['p0']}, {'argument_name': 'type', 'argument_value': ['issue']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'PART-003'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'applies_to_part', 'argument_value': 'PART-003'}, {'argument_name': 'ticket_severity', 'argument_value': 'high'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}]",0,48.12789249420166,4778.0,169.75
2," Retrieve work items owned by users DEVU-123 and DEVU-456, get similar work items to ""task-789,"" summarize those objects, create actionable tasks from the summary, and find the ID of the current user.",36,"[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['DEVU-123', 'DEVU-456']}]}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'task-789'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_similar_work_items'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'summarize_objects'}]}, {'tool_name': 'who_am_i', 'arguments': []}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': '[""DEVU-123"", ""DEVU-456""]'}]}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'task-789'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'works_list'}]}, {'tool_name': 'who_am_i', 'arguments': [{'argument_name': '', 'argument_value': ''}]}]",1,97.52005457878113,8490.125,302.375
3,"Search for objects with the query ""customer-xyz,"" retrieve work items related to those objects with medium severity, summarize the objects, and prioritize them.",39,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'customer-xyz'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket_rev_org', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'ticket_severity', 'argument_value': ['medium']}, {'argument_name': 'type', 'argument_value': ['ticket']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'summarize_objects'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'customer-xyz'}]}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket_severity', 'argument_value': 'medium'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}]",1,111.95188212394714,8307.5,307.125
4,"Get the current sprint ID and retrieve work items in that sprint owned by user ""DEVU-123.""",4,"[{'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['DEVU-123']}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]","[{'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': 'DEVU-123'}, {'argument_name': 'stage_name', 'argument_value': 'In Progress'}]}]",1,35.469645977020264,3332.375,111.125
5,"Search for objects with the query ""important-customer,"" retrieve work items related to those objects with high severity, summarize the objects, prioritize them, and get the ID of the current sprint.",37,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'important-customer'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket_rev_org', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'ticket_severity', 'argument_value': ['high']}, {'argument_name': 'type', 'argument_value': ['ticket']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'summarize_objects'}]}, {'tool_name': 'get_sprint_id', 'arguments': []}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'important-customer'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue_rev_orgs', 'argument_value': 'REV-123'}, {'argument_name': 'ticket_severity', 'argument_value': 'high'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'get_sprint_id', 'arguments': [{'argument_name': '', 'argument_value': ''}]}]",1,137.7564182281494,7520.75,294.5
6,"Retrieve work items with priorities ""p0"" and ""p1"" and summarize them.",42,"[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue_priority', 'argument_value': ['p0', 'p1']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue_priority', 'argument_value': 'p0, p1'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",0,30.76444673538208,4262.5,122.75
7,"Search for objects related to the customer ""ImportantClient,"" retrieve work items created by users DEVU-789 and DEVU-987, prioritize them by severity, and add the high-priority ones to the current sprint. Additionally, find similar work items to the highest priority one and create actionable tasks from their text.",18,"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'ImportantClient'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'created_by', 'argument_value': ['DEVU-789', 'DEVU-987']}, {'argument_name': 'issue.rev_orgs', 'argument_value': ['$$PREV[0]']}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}, {'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'prioritize_objects'}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'prioritize_objects'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'get_similar_work_items'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'ImportantClient'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'created_by', 'argument_value': 'DEVU-789,DEVU-987'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_items', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'get_sprint_id', 'arguments': [{'argument_name': 'None', 'argument_value': 'None'}]}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}]",1,126.77903413772583,9203.25,367.25
8,"Get my work items in the ""Completed"" stage, summarizing them.",27,"[{'tool_name': 'who_am_i', 'arguments': []}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'stage_name', 'argument_value': ['Completed']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'stage_name', 'argument_value': 'Completed'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",0,36.209025859832764,4309.125,112.25
9,"Add work items with IDs ""work-1"" and ""work-2"" to the sprint with ID ""sprint-123.""",31,"[{'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': ['work-1', 'work-2']}, {'argument_name': 'sprint_id', 'argument_value': 'sprint-123'}]}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'work_ids', 'argument_value': '[""work-1"", ""work-2""]'}]}, {'tool_name': 'get_sprint_id', 'arguments': [{'argument_name': '', 'argument_value': ''}]}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'works_list'}]}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]",0,20.846978425979614,2845.0,109.125
