,Query,expected_output,actual_output,similarity_score,inference_time,input_token,output_token
0,"Get my work items in the ""Completed"" stage, summarizing them.","[{'tool_name': 'who_am_i', 'arguments': []}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'stage_name', 'argument_value': ['Completed']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'stage_name', 'argument_value': 'Completed'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",0,28.823522567749023,3783,118
1,"Given a search string for a customer name, find matching objects, retrieve high-severity tickets related to those customers, and generate a summary.","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'CustomerName'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket.rev_org', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'ticket.severity', 'argument_value': ['high']}, {'argument_name': 'type', 'argument_value': ['ticket']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'customer name'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue_severity', 'argument_value': 'high'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket_rev_orgs', 'argument_value': 'REV-123'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'customer_name', 'argument_value': 'customer name'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}]",0,45.62718176841736,3800,158
2,"Create actionable tasks from the content of a DOCUMENT and add them to the current sprint, providing details on the sprint ID and the newly created tasks.",{},"[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'document'}]}, {'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'sprint_id', 'argument_value': 'create_actionable_tasks_from_text'}]}]",0,35.26098823547363,3415,205
3,"Search for work items related to the customer ""CustomerABC,"" retrieve those with a priority of ""p1,"" and summarize them.","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'CustomerABC'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue.rev_orgs', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'issue.priority', 'argument_value': ['p1']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue_rev_orgs', 'argument_value': 'CustomerABC'}, {'argument_name': 'issue_priority', 'argument_value': 'p1'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",0,35.89151382446289,3833,115
4,"Search for objects related to the customer ""VIPCustomer,"" retrieve work items owned by ""DEVU-789"" for those customers, and generate a summary of those work items.

json","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'VIPCustomer'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['DEVU-789']}, {'argument_name': 'issue.rev_orgs', 'argument_value': ['$$PREV[0]']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': 'DEVU-789'}, {'argument_name': 'ticket_rev_org', 'argument_value': 'VIPCustomer'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",0,40.15360403060913,4017,162
5,"Create actionable tasks from a given text, extract actionable insights, and add them to the current sprint.","[{'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'Sample text with actionable insights.'}]}, {'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'create_actionable_tasks_from_text'}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]","[{'tool_name': 'who_am_i', 'arguments': [{'argument_name': '', 'argument_value': ''}]}]",0,31.285578727722168,4126,108
6,"Summarize work items similar to ""TKT-456"" and prioritize them.","[{'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'TKT-456'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_similar_work_items'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'summarize_objects'}]}]","[{'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'TKT-456'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_similar_work_items'}]}]",1,44.90856456756592,3793,117
7,"Get the current sprint ID, find work items that are similar to ""don:core:dvrv-us-1:devo/0:issue/2,"" and prioritize them based on internal criteria.","[{'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'don:core:dvrv-us-1:devo/0:issue/2'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_similar_work_items'}]}]","[{'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'get_similar_work_items', 'arguments': []}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_sprint_id'}]}]",1,59.072291135787964,5142,157
8,"Get the current sprint ID and retrieve work items in that sprint owned by user ""DEVU-123.""","[{'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['DEVU-123']}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]","[{'tool_name': 'get_sprint_id', 'arguments': [{'argument_name': '', 'argument_value': ''}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': 'DEVU-123'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'stage_name', 'argument_value': 'sprint'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]",0,30.5996675491333,2821,134
9,"Retrieve work items related to the project ""EnterprisePlatform"" and provide a detailed summary, including information on the assignees, creation dates, and issue priorities.","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'EnterprisePlatform'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'applies_to_part', 'argument_value': ['$$PREV[0]']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'applies_to_part', 'argument_value': 'ENTERPRISEPLATFORM'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",0,33.516929149627686,3851,117
