,Query,Output,Output_map,Similarity Score
0,"Get my work items in the ""Completed"" stage, summarizing them.","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'stage_name', 'argument_value': 'Completed'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'who_am_i', 'arguments': []}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'stage.name', 'argument_value': ['Completed']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",1
1,"Given a search string for a customer name, find matching objects, retrieve high-severity tickets related to those customers, and generate a summary.","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'customer name'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket_severity', 'argument_value': 'high'}, {'argument_name': 'customer_name', 'argument_value': 'search_object_by_name'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'search_object_by_name'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'CustomerName'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket.rev_org', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'ticket.severity', 'argument_value': ['high']}, {'argument_name': 'type', 'argument_value': ['ticket']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",0
2," Identify high-priority tickets related to the customer ""MajorClient"" and generate a comprehensive summary, including the severity, status, and associated Rev organizations.","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue_rev_orgs', 'argument_value': 'REV-123'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket_severity', 'argument_value': 'high'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'MajorClient'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'ticket.rev_orgs', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'ticket.severity', 'argument_value': ['high']}, {'argument_name': 'type', 'argument_value': ['ticket']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",1
3,"Search for work items related to the customer ""CustomerABC,"" retrieve those with a priority of ""p1,"" and summarize them.","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'customer', 'argument_value': 'CustomerABC'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue_priority', 'argument_value': 'p1'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'CustomerABC'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue.rev_orgs', 'argument_value': ['$$PREV[0]']}, {'argument_name': 'issue.priority', 'argument_value': ['p1']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",1
4,"Search for objects related to the customer ""VIPCustomer,"" retrieve work items owned by ""DEVU-789"" for those customers, and generate a summary of those work items.

json","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': 'DEVU-789'}, {'argument_name': 'issue_rev_orgs', 'argument_value': 'VIPCustomer'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]","[{'tool_name': 'search_object_by_name', 'arguments': [{'argument_name': 'query', 'argument_value': 'VIPCustomer'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['DEVU-789']}, {'argument_name': 'issue.rev_orgs', 'argument_value': ['$$PREV[0]']}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'works_list'}]}]",1
5,"Create actionable tasks from a given text, extract actionable insights, and add them to the current sprint.","[{'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'Add a new feature to the product'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'create_actionable_tasks_from_text'}]}]","[{'tool_name': 'create_actionable_tasks_from_text', 'arguments': [{'argument_name': 'text', 'argument_value': 'Sample text with actionable insights.'}]}, {'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'add_work_items_to_sprint', 'arguments': [{'argument_name': 'work_ids', 'argument_value': 'create_actionable_tasks_from_text'}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]",0
6,"Summarize work items similar to ""TKT-456"" and prioritize them.","[{'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'TKT-456'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_similar_work_items'}]}]","[{'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'TKT-456'}]}, {'tool_name': 'summarize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_similar_work_items'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'summarize_objects'}]}]",1
7,"Get the current sprint ID, find work items that are similar to ""don:core:dvrv-us-1:devo/0:issue/2,"" and prioritize them based on internal criteria.","[{'tool_name': 'get_sprint_id', 'arguments': [{'argument_name': '', 'argument_value': ''}]}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'don:core:dvrv-us-1:devo/0:issue/2'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_sprint_id'}]}]","[{'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'get_similar_work_items', 'arguments': [{'argument_name': 'work_id', 'argument_value': 'don:core:dvrv-us-1:devo/0:issue/2'}]}, {'tool_name': 'prioritize_objects', 'arguments': [{'argument_name': 'objects', 'argument_value': 'get_similar_work_items'}]}]",1
8,"Get the current sprint ID and retrieve work items in that sprint owned by user ""DEVU-123.""","[{'tool_name': 'get_sprint_id', 'arguments': [{'argument_name': '', 'argument_value': ''}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': 'DEVU-123'}]}]","[{'tool_name': 'get_sprint_id', 'arguments': []}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'owned_by', 'argument_value': ['DEVU-123']}, {'argument_name': 'sprint_id', 'argument_value': 'get_sprint_id'}]}]",0
9,"List all work items with the priority ""p2"" created by user DEVU-789.","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue_priority', 'argument_value': 'p2'}]}, {'tool_name': 'works_list', 'arguments': [{'argument_name': 'created_by', 'argument_value': 'DEVU-789'}]}]","[{'tool_name': 'works_list', 'arguments': [{'argument_name': 'issue.priority', 'argument_value': ['p2']}, {'argument_name': 'created_by', 'argument_value': ['DEVU-789']}]}]",0
